Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
15.312;269;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;AgentBuyogMain@204;Group19@205;Atlas3@206;AgentW@207;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.811;233;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;Group19@208;AgentW@209;Atlas3@210;AgentBuyogMain@211;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
17.879;224;;270rounds;Yes;No;4;0.46466;0.96428;0.00000;0.44422;2.93902;Atlas3@212;AgentW@213;Group19@214;AgentBuyogMain@215;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
21.557;270;;270rounds;Yes;No;4;0.66876;0.89286;0.00000;0.23337;3.05557;AgentW@216;Atlas3@217;Group19@218;AgentBuyogMain@219;0.7424999999999999;0.6687591642433374;0.7514519900742164;0.89285635;0.7424999999999999;0.6687591642433374;0.7514519900742164;0.89285635;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
24.754;271;;270rounds;Yes;No;4;0.49720;0.92857;0.00000;0.38758;2.97734;AgentBuyogMain@220;Atlas3@221;Group19@222;AgentW@223;0.7758333333333333;0.4971985043305238;0.7757342450193954;0.9285706;0.7758333333333333;0.4971985043305238;0.7757342450193954;0.9285706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
20.274;270;;270rounds;Yes;No;4;0.50198;0.89917;0.09438;0.37668;2.78048;Group19@224;AgentBuyogMain@225;Atlas3@226;AgentW@227;0.8991666666666666;0.501981670667513;0.5579074790889803;0.8214278500000001;0.8991666666666666;0.501981670667513;0.5579074790889803;0.8214278500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
27.611;269;;270rounds;Yes;No;4;0.41817;0.79166;0.26318;0.65580;2.13400;Atlas3@228;AgentBuyogMain@229;Group19@230;AgentW@231;0.4241666666666666;0.4181693986063617;0.7916613444972634;0.49999955;0.4241666666666666;0.4181693986063617;0.7916613444972634;0.49999955;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
21.598;269;;270rounds;Yes;No;4;0.68524;0.85714;0.00000;0.19677;3.03723;AgentW@232;AgentBuyogMain@233;Group19@234;Atlas3@235;0.755;0.6852359027985925;0.7398486467626286;0.8571421000000001;0.755;0.6852359027985925;0.7398486467626286;0.8571421000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
21.641;271;;270rounds;Yes;No;4;0.67857;0.91209;0.00000;0.13753;3.09242;AgentBuyogMain@236;AgentW@237;Group19@238;Atlas3@239;0.7725;0.9120887338395958;0.7292599480062285;0.6785708500000001;0.7725;0.9120887338395958;0.7292599480062285;0.6785708500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
20.070;271;;270rounds;Yes;No;4;0.17430;0.88583;0.00000;0.67172;2.64278;Group19@240;Atlas3@241;AgentBuyogMain@242;AgentW@243;0.8858333333333334;0.1743012932828654;0.7612188626497091;0.8214277750000001;0.8858333333333334;0.1743012932828654;0.7612188626497091;0.8214277750000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
